"","species","hw.raw","hw.logit","time"
"689","D","0.136","-1.93679846870406","trough"
"690","D","0.177","-1.60703982975009","trough"
"691","D","0.168","-1.67318498121536","trough"
"692","D","0.17","-1.65822807660353","trough"
"693","D","0.177","-1.60703982975009","trough"
"694","D","0.144","-1.86604510861152","trough"
"695","D","0.18","-1.58562726374038","trough"
"696","D","0.118","-2.11133490545579","trough"
"697","D","0.17","-1.65822807660353","trough"
"698","D","0.169","-1.66568745775272","trough"
"699","D","0.187","-1.53680646810324","trough"
"700","D","0.134","-1.95508452533135","trough"
"701","D","0.126","-2.03086687153128","trough"
"702","D","0.163","-1.71126277325962","trough"
"703","D","0.119","-2.10099654524167","trough"
"704","D","0.126","-2.03086687153128","trough"
"705","D","0.174","-1.6287621852605","trough"
"706","D","0.196693646386227","-1.47163883845364","trough"
"707","D","0.962410130845636","2.99637584603758","trough"
"708","D","0.166639461494977","-1.68344781070499","trough"
"709","D","0.175424996276461","-1.618404720312","trough"
"710","D","0.1778345282006","-1.60105276258742","trough"
"711","D","0.298503678222952","-0.902662412502833","trough"
"712","D","0.371074109440945","-0.57070524386177","trough"
"713","D","0.754238082213602","1.06811398351201","trough"
"714","D","0.19266560298315","-1.49839113461638","trough"
"715","D","0.16826452835488","-1.67119793502908","trough"
"716","D","0.167489883036482","-1.67702444890617","trough"
"717","D","0.840180128511135","1.58690440372547","trough"
"718","D","0.210705880550275","-1.38188843190586","trough"
"719","D","0.204063840641777","-1.42381735221508","trough"
"720","D","0.168080760978146","-1.67257804612318","trough"
"721","D","0.172029962724089","-1.64320107158491","trough"
"722","D","0.176848615685686","-1.60812845112245","trough"
"723","D","0.174283041219177","-1.62669918837681","trough"
"724","D","0.177964891441275","-1.60011965967006","trough"
"725","D","0.166294156710446","-1.68606405529955","trough"
"726","D","0.16839163020036","-1.67024414869806","trough"
"727","D","0.168490835995593","-1.66950012907068","trough"
"728","D","0.166272315312833","-1.6862296976377","trough"
"729","D","0.169548507021261","-1.66159124383626","trough"
"730","D","0.19469770843024","-1.48483847422711","trough"
"731","D","0.166311323081658","-1.68593388099378","trough"
"732","D","0.176655980846653","-1.60951485231143","trough"
"733","D","0.253147616790342","-1.13549949665211","trough"
"734","D","0.199456107136869","-1.4535481219143","trough"
"735","D","0.19132772521609","-1.50737782028911","trough"
"736","D","0.166575683178777","-1.68393068112246","trough"
"737","D","0.19580906883852","-1.47747526279582","trough"
"738","D","0.166624447910227","-1.68356146527167","trough"
"739","D","0.171655833042402","-1.64595912867937","trough"
"740","D","0.166801341759281","-1.68222292149737","trough"
"741","D","0.172070977685943","-1.64289902484207","trough"
"742","D","0.204836375676427","-1.41888540956553","trough"
"743","D","0.243019041062395","-1.19134180415987","trough"
"744","D","0.174229007826051","-1.62709279978926","trough"
"745","D","0.299516500914922","-0.897733429529681","trough"
"746","D","0.167355756814889","-1.67803564720967","trough"
