species,hw.raw,hw.logit,time
D,0.157,-1.758326961,trough
D,0.14,-1.900958761,trough
D,0.161,-1.726779349,trough
D,0.176,-1.614245614,trough
D,0.193,-1.496152942,trough
D,0.133,-1.964322637,trough
D,0.141,-1.892145802,trough
D,0.135,-1.945910149,trough
D,0.136,-1.936798469,trough
D,0.173,-1.63607387,trough
D,0.141,-1.892145802,trough
D,0.107,-2.231011575,trough
D,0.16,-1.734601055,trough
D,0.193,-1.496152942,trough
D,0.133,-1.964322637,trough
D,0.163,-1.711262773,trough
D,0.198,-1.463058377,trough
D,0.165,-1.69591151,trough
D,0.147,-1.840433765,trough
D,0.155,-1.774367727,trough
D,0.142,-1.883389792,trough
D,0.157,-1.758326961,trough
D,0.16,-1.734601055,trough
D,0.149,-1.823620571,trough
D,0.176,-1.614245614,trough
D,0.163,-1.711262773,trough
D,0.175,-1.621486251,trough
D,0.211,-1.380056038,trough
D,0.208,-1.398841577,trough
D,0.167,-1.680721153,trough
D,0.19,-1.516347489,trough
D,0.3,-0.895384047,trough
D,0.178,-1.599868461,trough
D,0.178,-1.599868461,trough
D,0.163,-1.711262773,trough
D,0.174,-1.628762185,trough
D,0.153,-1.790593288,trough
D,0.194,-1.489478597,trough
D,0.148,-1.832001586,trough
D,0.149,-1.823620571,trough
D,0.133,-1.964322637,trough
D,0.149,-1.823620571,trough
D,0.229,-1.27150342,trough
D,0.195,-1.482832288,trough
D,0.159,-1.742465823,trough
D,0.149,-1.823620571,trough
D,0.16,-1.734601055,trough
D,0.15,-1.815289967,trough
D,0.186,-1.543686535,trough
D,0.316,-0.818886859,trough
D,0.325,-0.776846199,trough
D,0.162,-1.719000115,trough
D,0.2,-1.450010176,trough
D,0.164,-1.703566757,trough
D,0.164,-1.703566757,trough
D,0.184,-1.557539474,trough
D,0.21,-1.386294361,trough
D,0.21,-1.386294361,trough
D,0.11,-2.197224577,trough
D,0.2,-1.450010176,trough
D,0.136,-1.936798469,trough
D,0.177,-1.60703983,trough
D,0.168,-1.673184981,trough
D,0.17,-1.658228077,trough
D,0.177,-1.60703983,trough
D,0.144,-1.866045109,trough
D,0.18,-1.585627264,trough
D,0.118,-2.111334905,trough
D,0.17,-1.658228077,trough
D,0.169,-1.665687458,trough
D,0.187,-1.536806468,trough
D,0.134,-1.955084525,trough
D,0.126,-2.030866872,trough
D,0.163,-1.711262773,trough
D,0.119,-2.100996545,trough
D,0.126,-2.030866872,trough
D,0.174,-1.628762185,trough
D,0.196693646,-1.471638838,trough
D,0.962410131,2.996375846,trough
D,0.166639461,-1.683447811,trough
D,0.175424996,-1.61840472,trough
D,0.177834528,-1.601052763,trough
D,0.298503678,-0.902662413,trough
