species,hw.trans.peak,time
D,-0.49968471,peak
D,-0.465855749,peak
D,0.217625454,peak
D,0.221759859,peak
D,0.231243101,peak
D,0.433650364,peak
D,0.613079639,peak
D,0.844605581,peak
D,0.931337493,peak
D,0.935099632,peak
D,0.947167456,peak
D,0.965842571,peak
D,1.088092374,peak
D,1.088658743,peak
D,1.095157336,peak
D,1.102725223,peak
D,1.113224091,peak
D,1.117249255,peak
D,1.133330656,peak
D,1.149330687,peak
D,1.18479902,peak
D,1.224794667,peak
D,1.238399929,peak
D,1.249583219,peak
D,1.315572507,peak
D,1.31839519,peak
D,1.321752848,peak
D,1.323665971,peak
D,1.347937218,peak
D,1.349920508,peak
D,1.364122765,peak
D,1.375470311,peak
D,1.390498162,peak
D,1.397349215,peak
D,1.399502998,peak
D,1.444919782,peak
D,1.447163163,peak
D,1.460088878,peak
D,1.470953914,peak
D,1.474407967,peak
D,1.474944568,peak
D,1.4854064,peak
D,1.519427673,peak
D,1.524728076,peak
D,1.57016702,peak
D,1.600837129,peak
D,1.602044828,peak
D,1.61409577,peak
D,1.62940696,peak
D,1.657727522,peak
D,1.666010088,peak
D,1.672598896,peak
D,1.739802094,peak
D,1.7553112,peak
D,1.755577797,peak
D,1.784230652,peak
D,1.805374311,peak
D,1.815949243,peak
D,1.822585588,peak
D,1.894139327,peak
D,1.912447312,peak
D,1.989112286,peak
D,2.022880979,peak
D,2.025844511,peak
D,2.07440801,peak
D,2.088107093,peak
D,2.088175392,peak
D,2.131926956,peak
D,2.137171872,peak
D,2.155367862,peak
D,2.166052412,peak
D,2.172260866,peak
D,2.172550039,peak
D,2.182439981,peak
D,2.214805947,peak
D,2.218441869,peak
D,2.251079362,peak
D,2.274398201,peak
D,2.277140372,peak
D,2.315127454,peak
D,2.315654965,peak
D,2.323363595,peak
D,2.354741158,peak
D,2.433455402,peak
D,2.454956234,peak
D,2.464681444,peak
D,2.474344199,peak
D,2.481571117,peak
D,2.496522991,peak
D,2.512229792,peak
D,2.559122201,peak
D,2.593225103,peak
D,2.605484504,peak
D,2.663587494,peak
D,2.665861955,peak
D,2.698742247,peak
D,2.706170148,peak
D,2.733012892,peak
D,2.739636132,peak
D,2.773828043,peak
D,2.794122325,peak
D,2.805115688,peak
D,2.88509947,peak
D,2.950416379,peak
D,2.963479706,peak
D,2.977446893,peak
D,3.022208559,peak
D,3.029470453,peak
D,3.068923829,peak
D,3.126340898,peak
D,3.154384752,peak
D,3.516055975,peak
D,3.615949366,peak
D,3.749479043,peak
D,3.758845738,peak
D,3.7670086,peak
D,3.838173951,peak
D,3.863277246,peak
D,3.94583765,peak
D,3.948911223,peak
D,3.951279454,peak
D,3.959181431,peak
D,4.000017323,peak
D,4.005507637,peak
D,4.013002685,peak
D,4.058785255,peak
D,4.063016839,peak
D,4.104078027,peak
D,4.125989571,peak
D,4.181155143,peak
D,4.184143619,peak
D,4.196044476,peak
D,4.20133461,peak
D,4.2447385,peak
D,4.251788105,peak
D,4.267271444,peak
D,4.273794998,peak
D,4.330158777,peak
D,4.517418828,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
