species,hw.trans.peak,time
F,-2.402266864,peak
F,-2.242481169,peak
F,-2.556365614,peak
F,-2.751535313,peak
F,-2.402266864,peak
F,-2.483823813,peak
F,-2.389199566,peak
F,-2.61782511,peak
F,-2.442347035,peak
F,-2.254058052,peak
F,-2.231011575,peak
F,-2.231011575,peak
F,-2.442347035,peak
F,-2.389199566,peak
F,-2.497978731,peak
F,-2.415478143,peak
F,-2.649821696,peak
F,-2.541494124,peak
F,-2.277542957,peak
F,-2.469836397,peak
F,-2.769405696,peak
F,-2.526809141,peak
F,-2.751535313,peak
F,-2.806015015,peak
F,-2.733941615,peak
F,-2.265744524,peak
F,-2.313634929,peak
F,-2.289455802,peak
F,-2.602152773,peak
F,-2.060457164,peak
F,-2.428836968,peak
F,-2.415478143,peak
F,-2.61782511,peak
F,-2.350827762,peak
F,-2.142863368,peak
F,-2.265744524,peak
F,-2.483823813,peak
F,-2.277542957,peak
F,-2.389199566,peak
F,-2.843851742,peak
F,-2.289455802,peak
F,-2.080567034,peak
F,-2.428836968,peak
F,-2.277542957,peak
F,-2.376272809,peak
F,-2.350827762,peak
F,-2.164326874,peak
F,-2.402266864,peak
F,-2.242481169,peak
F,-2.277542957,peak
F,-2.571428862,peak
F,-2.428836968,peak
F,-2.649821696,peak
F,-2.231011575,peak
F,-2.277542957,peak
F,-2.164326874,peak
F,-2.277542957,peak
F,-2.376272809,peak
F,-2.428836968,peak
F,-2.483823813,peak
F,-2.338303176,peak
F,-2.363483275,peak
F,-2.350827762,peak
